split,variant,label,overall_rmse_db,overall_mae_db,overall_pixels,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels,map_correlation,maps
validation,fspl_raw_nlos,FSPL LoS + raw COST231 NLoS,7.863132251122491,4.6777513975487635,413884130,3.7899798787111103,3.0285744435828517,382752235,25.40448453155349,24.95361847987526,31131895,0.5772229616046818,2750
validation,two_ray_raw_nlos,coherent two-ray LoS + raw COST231 NLoS,7.165822110593034,2.9229513791205037,413884130,1.7411797483814129,1.1310443639709997,382752235,25.40448453155349,24.95361847987526,31131895,0.8476913317538457,2750
validation,radial_two_ray_raw_nlos,two-ray + radial LoS + raw COST231 NLoS,7.165297482172798,2.9160563057479165,413884130,1.7388435440665015,1.1235884664395341,382752235,25.40448453155349,24.95361847987526,31131895,0.848582647067813,2750
validation,global_nlos_ridge,two-ray + radial LoS + global NLoS ridge,1.8907754939210726,1.2036798649094043,413884130,1.7388435440665015,1.1235884664395341,382752235,3.2179056964607256,2.188366526888007,31131895,0.9461738553092105,2750
validation,regime_nlos_ridge,"full prior, itu3 ITU-inspired topology routing",1.888416121852219,1.2029741443909485,413884130,1.7388435440665015,1.1235884664395341,382752235,3.19943371202934,2.1789842993427753,31131895,0.9463700391503077,2750
test,fspl_raw_nlos,FSPL LoS + raw COST231 NLoS,7.81846470139508,4.793576646226574,423087119,3.992471316378327,3.2182293573918086,391721805,25.009776660110056,24.468108949145996,31365314,0.5633509854973339,2590
test,two_ray_raw_nlos,coherent two-ray LoS + raw COST231 NLoS,7.0129309225082554,2.8583383085402136,423087119,1.7424181432807355,1.1280357495326,391721805,25.009776660110056,24.468108949145996,31365314,0.848487937081314,2590
test,radial_two_ray_raw_nlos,two-ray + radial LoS + raw COST231 NLoS,7.011696554202781,2.8458622438234675,423087119,1.7370444115023174,1.1145607215660924,391721805,25.009776660110056,24.468108949145996,31365314,0.8493407762622438,2590
test,global_nlos_ridge,two-ray + radial LoS + global NLoS ridge,1.9317027258975816,1.217923409250234,423087119,1.7370444115023174,1.1145607215660924,391721805,3.556758424670963,2.508821328820981,31365314,0.9478474182141796,2590
test,regime_nlos_ridge,"full prior, itu3 ITU-inspired topology routing",1.9287476650827093,1.2170149308029061,423087119,1.7370444115023174,1.1145607215660924,391721805,3.5350600626317146,2.4965668515039816,31365314,0.9480334868696725,2590
